phi,O2,N2,fuel,cyclopentane,cyclopentene,"1,2-epoxycyclopentane",H2,water,CO,CO2,methane,acetaldehyde,ethene,propene,acrolein,"1,3-butadiene",1-butene,cyclopentadiene,benzene,h radical,hydroxy,hydroperoxy,peroxide
30.0,0.00125,0.99375,0.005,4999.962557616941,0.01667182759656726,0.00012992542206779586,0.01838383827620985,0.006219151273244728,0.00448523496702457,2.01355834521845e-6,0.003722341427763163,2.785235229221286e-7,0.016644774695079554,0.0006032785510169313,0.003086736473548976,6.516774678343096e-6,0.000013274973917442356,0.00019379317808302182,1.2017703609317815e-12,7.730552225636904e-8,4.997143267323664e-8,0.0009068626572410693,0.0003372367709488921
6.0,0.00625,0.98875,0.005,4999.484927070158,0.2732101968058765,0.008900467985155645,0.25507824123739403,0.16249537310813766,0.08420594951013732,0.00006541103389566721,0.05777823526919831,7.142089753218627e-6,0.23675400535219482,0.016568029883516678,0.08801314173510594,0.00012547492312610728,0.000651447812198712,0.003471980076320259,1.2442364885631948e-9,1.0701599971304683e-6,1.3017771844949622e-6,0.00902660261057174,0.004146245064684032
3.0,0.0125,0.9825,0.005,4998.171537011027,1.028661844585682,0.056376175818646325,0.7792816851486764,0.8236988934054533,0.2287259617877206,0.00035373676951140897,0.10707971463554194,0.00009371875227910809,0.7656182241521262,0.06949260568690396,0.3582651088532157,0.0005905446119941796,0.0011265562362036817,0.015919988384672314,1.4460695297429027e-8,3.2563607451205723e-6,6.545238017001333e-6,0.04203152425893685,0.03374982443691336
2.0,0.01875,0.97625,0.005,4997.04285622744,1.7266011958182874,0.12260532833384465,1.0423035757034766,1.5951840334008371,0.32764120772805544,0.0007347010752280316,0.12727736115996283,0.0002472993946015369,1.1120900874661215,0.10556554357391286,0.5391489984035408,0.0012316339076285426,0.0010857898961942267,0.03129820574977559,4.4883443922209574e-8,4.334349766910501e-6,0.000012583694158348394,0.07968008105932511,0.09452625243115968
1.75,0.021428571,0.973571429,0.005,4996.694971242313,1.9549270917716794,0.14975091113761826,1.0752680192870416,1.8804501493022847,0.35412541047199125,0.0008997706096033675,0.1326181273915799,0.0003056861519667323,1.1886301344954102,0.11325796590679421,0.577503311579519,0.00150519725429761,0.0010451598650159859,0.037189212216315645,6.15405652116869e-8,4.461742069719635e-6,0.000014799655091146525,0.09302889072660303,0.1228907439518518
1.5,0.025,0.97,0.005,4996.31979925247,2.2104932700601974,0.18369912090909105,1.080070807736806,2.218254962771402,0.3796032963551223,0.0011220334847370213,0.13805894674322697,0.00037118593701688856,1.2498501960550206,0.11910222151562402,0.606631171866779,0.001857503496497558,0.0009891841066032108,0.04431304334368207,8.611404096922539e-8,4.468362750496467e-6,0.000017413722099398682,0.1084082667951085,0.15996539749921895
1.25,0.03,0.965,0.005,4995.907613896138,2.503685870078033,0.22723401427885412,1.0477880653000609,2.6266275521927547,0.40301386411584167,0.0014432239228834242,0.14358909941629122,0.000442240529515098,1.2884152250934215,0.12222748370194023,0.6223223725489365,0.0023260527032687084,0.000915905710816391,0.0531921938156401,1.2441989743956637e-7,4.316010472006459e-6,0.000020560363542839234,0.12631766532775887,0.20907051951151845
1.1,0.034090909,0.960909091,0.005,4995.631193411405,2.707327542347974,0.260043335777423,1.0069991012680892,2.9200215401971845,0.4157486319728195,0.0017197431458526038,0.14695434277502514,0.0004870522779344604,1.2975188583603645,0.12240756520372553,0.6234308905847551,0.0026914770190120904,0.0008628645360377662,0.05980576417557068,1.5902173741647737e-7,4.132549240771466e-6,0.000022812196029240435,0.13866040485039355,0.24664416305781545
1.0,0.0375,0.9575,0.005,4995.426903325342,2.860764439343421,0.2858868874751736,0.9698568331227152,3.1444464054277645,0.4236973013111383,0.001962183655990197,0.14922348488221532,0.0005179662013553485,1.296784590434001,0.12169418135236136,0.6201168904074196,0.002986637541333011,0.0008235216208102706,0.06502724142312374,1.9017533523503043e-7,3.967266877201278e-6,0.000024529651733689167,0.14777259131551718,0.2763525282921999
0.9,0.041666667,0.953333333,0.005,4995.198334640324,3.034479139902137,0.31603145359651774,0.9243028614506927,3.4004832282164985,0.43132670263856604,0.00227543200270137,0.15151936802090288,0.0005501359472034691,1.2901555252657286,0.12024448833060686,0.6132477060119397,0.003338925811573946,0.0007809222473875451,0.07118058932948067,2.3127592476855717e-7,3.765401820529456e-6,0.0000264835925759434,0.15779732881910363,0.3109859380256424
0.75,0.05,0.945,0.005,4994.782058009193,3.353172482203384,0.3729001949348487,0.8396757177441426,3.8718804309839485,0.4427586152233394,0.002964255757427159,0.15502921858162685,0.0006028289910157548,1.2685884234237557,0.11656622279350508,0.5957600639763613,0.0040264369208304574,0.000710921890051554,0.08311618793099267,3.2426671592110426e-7,3.3908328596434677e-6,0.000030065488362386474,0.1751885180416867,0.37597835518484657
0.65,0.057692308,0.937307692,0.005,4994.422363014324,3.6278006971585843,0.4227178413318643,0.7723478699019672,4.277515079813423,0.45121457571107243,0.0036803722208798217,0.15742430500982937,0.0006439349252002983,1.246394164405562,0.11303736263448799,0.5790456636026995,0.0046525615738291035,0.000660368310264254,0.09405068483676474,4.240624694345272e-7,3.0919547601741737e-6,0.0000331311579482806,0.18907274289016215,0.4324095125879146
0.6,0.0625,0.9325,0.005,4994.20305441392,3.7940229865373865,0.4530089724551467,0.7355060604813451,4.522527132476406,0.45610768054555034,0.0041694042468988154,0.158640456524767,0.0006677872336772027,1.2330641707605647,0.11093396629938479,0.5691364134084707,0.0050438258586255,0.0006340581909874381,0.10095366820994911,4.938013823611044e-7,2.9276745124220463e-6,0.000034975410219027946,0.19700738794490033,0.4664998110244147
0.55,0.068181818,0.926818182,0.005,4993.946323406208,3.987101551926999,0.4882327013444571,0.6966534305047979,4.806829018647026,0.4617758851275583,0.00479001312267775,0.15986902769878716,0.0006950581086433163,1.2183871687172458,0.10859971990121117,0.5582017362440996,0.005508582497458425,0.0006071889274266197,0.1092378854523157,5.839813033305656e-7,2.7535909281636378e-6,0.00003710836732117649,0.20582298756658135,0.5059637065396954
0.5,0.075,0.92,0.005,4993.639347641822,4.2156730957570785,0.5299296672731696,0.6559278065348375,5.143387549704856,0.4686188809458223,0.005597559730744031,0.1611092338132798,0.000727227002647403,1.2025600370317882,0.10603326978764925,0.5462749852965301,0.00607202574372484,0.0005799364751962052,0.11941145436071018,7.038866702847085e-7,2.569871309895054e-6,0.0000396236985332636,0.2157631746817562,0.5524872251477131
0.45,0.083333333,0.911666667,0.005,4993.263164835737,4.492349469238916,0.5803664518865314,0.6135383583726134,5.551531806192258,0.4772509578596934,0.0066805860921437905,0.16235972699835613,0.0007665759763280071,1.1859050947358167,0.10323664673891927,0.5334286045464521,0.006772298698976088,0.000552594949550422,0.1322545039033511,8.687733714501031e-7,2.3767935416216714e-6,0.00004266019223842392,0.2271757275503478,0.6085760302842482
0.4,0.09375,0.90125,0.005,4992.7885475332805,4.836280391645308,0.6430180023925359,0.5698055733194123,6.061350112316017,0.48866131072233066,0.008188277140652537,0.1636195867148185,0.0008167819878322513,1.1689579283326885,0.10021799928468046,0.5198061182628803,0.007669873866007716,0.0005256725051279541,0.1490226793946778,1.1051267166327922e-6,2.1747920457121435e-6,0.00004643231261381342,0.2405756616667535,0.678119362455782
0.35,0.107142857,0.887857143,0.005,4992.168043828874,5.277988970369499,0.7234920963591838,0.5252357532924016,6.722292338384572,0.5045434596555691,0.010388910770990446,0.1648921480675405,0.0008841163367573179,1.152641599898431,0.0969972791769793,0.5056899077138209,0.008866311169186585,0.0005000882554975426,0.17185974235672893,1.4621914900936249e-6,1.964540646336247e-6,0.000051289334746384864,0.2567614105262251,0.7674908012980707
