phi,O2,N2,fuel,cyclopentane,cyclopentene,"1,2-epoxycyclopentane",H2,water,CO,CO2,methane,acetaldehyde,ethene,propene,acrolein,"1,3-butadiene",1-butene,cyclopentadiene,benzene,h radical,hydroxy,hydroperoxy,peroxide,oxirane
30.0,0.00125,0.99375,0.005,4999.904190885854,0.04322094559207978,0.00016391051345502301,0.035957215970197576,0.024809866062741277,0.013610181461390132,1.8236272396644186e-6,0.01306206474926597,3.992389807309459e-7,0.04716596040739666,0.0010043089918386596,0.0029663431332217108,0.000041838104787746414,0.00016803511023285786,0.0005129805842197987,4.8545444122507216e-11,1.5068538706215777e-7,5.254624320378405e-9,0.00005832949426210834,0.003615085759066009,3.3513802194382906e-7
6.0,0.00625,0.98875,0.005,4257.154829337628,248.69842911068258,6.190807951088506,255.0806494959133,545.8179984085615,228.44719997398354,8.144218750912012,25.49006010213242,5.918771115469043,431.1493862501225,48.29486888764566,152.46646985487584,4.813984436777969,10.655208392725237,35.97607613709986,0.129378155315481,0.0007276425270028184,0.00012179244925445452,0.3428698824244404,21.802708991213137,1.1139815179000943
5.0,0.0075,0.9875,0.005,3718.8813327566595,357.4142868800036,12.326989114908192,395.830852602203,1106.4188363095673,556.950503827291,31.4599133835735,69.55817937900979,13.57833178412438,753.782442720328,76.4312795661945,237.55158787730096,10.296040085700275,21.71019384299845,57.17018472461231,0.5460057202749885,0.000975019517903456,0.0002617670250594127,0.6682642265246843,43.50276650757551,3.3359900261521553
4.0,0.009375,0.985625,0.005,3081.788381519636,441.1911122446927,19.97701073395512,551.6058479474564,1946.3100685514983,1152.435345576415,90.39397859405945,147.07082500145847,24.529064569819127,1115.6880236543093,102.92333330113827,307.32645401706134,16.455801962800546,33.65485553826644,73.91439761908107,1.4911291868862768,0.0012222758840930823,0.0005026395812060292,1.1523267259352976,76.64208392109377,7.637383901851503
3.5,0.010714286,0.984285714,0.005,2721.1020997830096,467.55800069622717,23.97976080380899,640.5185023756749,2532.0870112229536,1620.0220075753427,146.40950077074433,200.21674340340078,31.434394100188914,1307.8478563485567,113.66731407977397,331.9301561067638,19.426969176242547,38.37702473147826,79.01742297676874,2.20047889908602,0.0013734298092492538,0.0006947065042599797,1.4987552912171762,100.6211596272803,10.981023575990799
3.0,0.0125,0.9825,0.005,2337.655895807602,479.1869396212854,27.671780020790596,737.6169967534977,3276.269966662439,2254.251738193888,233.27640337327816,260.5360601397218,39.07025784030359,1496.874363690837,120.41097806679458,345.1061336992052,21.834218554379643,40.7446295685162,80.65482490275626,2.9793647252871853,0.0015599232868161229,0.0009694057917633103,1.9619420731722592,132.92125702768865,15.3806589966142
2.5,0.015,0.98,0.005,1950.0837247226411,475.3134957944098,30.70139895328373,835.9139132153595,4209.4600218704,3075.8131440312213,365.472237531933,319.090610104058,46.3834382440911,1658.9779815873178,120.10068289088655,342.1290328132053,23.070500041761413,39.28773513433572,78.36341995979757,3.5898578506685728,0.0017857102720256464,0.0013648989977477492,2.596654795263581,177.9554680479021,20.849052249599797
2.0,0.01875,0.97625,0.005,1597.4979120448795,463.4878106024487,33.188704462975736,907.3918089933233,5304.592578126094,3995.896632929828,554.9955477558409,356.1966331596145,50.68048504113627,1748.3267925098473,109.45781696345739,319.0665974672209,22.734834036871305,33.24956274884531,73.70024888822532,3.6932383857455595,0.0020040501195491356,0.0019027084989153126,3.4528370699381132,241.53953828300195,26.73485810335571
1.75,0.021428571,0.973571429,0.005,1451.0373500943033,460.5623746650917,34.57656161485028,914.4951600879645,5865.826721056549,4401.049488603719,668.8474577172341,358.1998399963844,50.423831407446016,1747.1516459758207,99.97356712774821,299.7707620966028,22.116894458194512,28.850621001029904,71.8263862644399,3.4972305891450386,0.0020625279203436084,0.0022078862625929375,3.9615758910626138,281.8316271141422,29.291226335734628
1.5,0.025,0.97,0.005,1332.1470955621344,463.99913153855584,36.403545894897285,889.7013402476239,6389.030602927308,4690.562109088592,786.8384182896003,345.40235608573477,48.008637999324996,1706.8762335266078,88.2823848209197,275.72414096908517,21.425449178002108,24.004509898406283,71.24121124940338,3.1615495891916177,0.0020455398922583435,0.002508397175196198,4.50589800094574,327.8852429560006,31.149106439474675
